4,11766,12,0,0,0,0,1 Gold!
7,11766,7,0,0,0,2,1000 Gold!
25,1542,2,7,21,32,1,Worn Shortsword
35,472,2,10,17,30,1,Bent Staff
36,5194,2,4,21,32,1,Worn Mace
37,14029,2,0,21,32,1,Worn Axe
38,9891,4,0,4,0,1,Recruit's Shirt
39,9892,4,1,7,0,0,Recruit's Pants
40,10141,4,0,8,0,1,Recruit's Boots
43,9938,4,0,8,0,1,Squire's Boots
44,9937,4,1,7,0,0,Squire's Pants
45,3265,4,0,4,0,1,Squire's Shirt
47,9915,4,0,8,0,1,Footpad's Shoes
48,9913,4,1,7,0,0,Footpad's Pants
49,9906,4,0,4,0,1,Footpad's Shirt
51,9946,4,0,8,0,1,Neophyte's Boots
52,9945,4,1,7,0,0,Neophyte's Pants
53,9944,4,0,4,0,1,Neophyte's Shirt
55,9929,4,0,8,0,1,Apprentice's Boots
56,12647,4,1,20,0,0,Apprentice's Robe
57,12645,4,1,20,0,0,Acolyte's Robe
59,3261,4,0,8,0,1,Acolyte's Shoes
60,16891,4,2,5,0,1,Layered Tunic
61,16953,4,2,7,0,1,Dwarven Leather Pants
79,16847,4,1,7,0,1,Dwarven Cloth Britches
80,16854,4,1,8,0,1,Soft Fur-lined Shoes
85,16883,4,2,5,0,1,Dirty Leather Vest
100,372,4,1,7,0,0,Deprecated Dwarven Squire's Pants
117,2473,0,5,0,0,1,Tough Jerky
118,15710,0,1,0,0,1,Minor Healing Potion
119,5702,4,0,4,0,1,Deprecated Rogue's Vest
120,10006,4,1,7,0,0,Thug Pants
121,10008,4,0,8,0,1,Thug Boots
127,9996,4,0,4,0,1,Trapper's Shirt
128,396,4,1,7,0,0,Deprecated Tauren Trapper's Pants
129,9977,4,0,8,0,1,Rugged Trapper's Boots
139,9988,4,1,7,0,0,Brawler's Pants
140,9992,4,0,8,0,1,Brawler's Boots
147,9975,4,1,7,0,0,Rugged Trapper's Pants
148,9976,4,0,4,0,1,Rugged Trapper's Shirt
153,10050,4,2,7,0,0,Primitive Kilt
154,10058,4,0,4,0,1,Primitive Mantle
159,18084,0,5,0,0,1,Refreshing Spring Water
182,7038,12,0,0,0,1,Garrick's Head
192,5279,2,14,21,32,6,Martin Thunder
193,16579,4,1,5,0,1,Tattered Cloth Vest
194,16580,4,1,7,0,1,Tattered Cloth Pants
195,16582,4,1,8,0,1,Tattered Cloth Boots
200,16777,4,1,5,0,1,Thick Cloth Vest
201,16778,4,1,7,0,1,Thick Cloth Pants
202,16780,4,1,8,0,1,Thick Cloth Shoes
203,16779,4,1,10,0,1,Thick Cloth Gloves
209,17140,4,2,7,0,1,Dirty Leather Pants
210,14444,4,2,8,0,1,Dirty Leather Boots
236,14278,4,2,5,0,1,Cured Leather Armor
237,14476,4,2,7,0,1,Cured Leather Pants
238,14474,4,2,8,0,1,Cured Leather Boots
239,14475,4,2,10,0,1,Cured Leather Gloves
285,16101,4,3,5,0,1,Scalemail Vest
286,10400,4,3,7,0,1,Scalemail Pants
287,12745,4,3,8,0,1,Scalemail Boots
414,21904,0,5,0,0,1,Dalaran Sharp
422,6352,0,5,0,0,1,Dwarven Mild
537,6629,15,0,0,0,0,Dull Frenzy Scale
555,11206,15,0,0,0,0,Rough Vulture Feathers
556,6625,15,0,0,0,0,Buzzard Beak
647,20190,2,8,17,26,4,Destiny
710,16936,4,1,9,0,1,Bracers of the People's Militia
711,16581,4,1,10,0,1,Tattered Cloth Gloves
714,14445,4,2,10,0,1,Dirty Leather Gloves
718,6986,4,3,10,0,1,Scalemail Gloves
719,16970,4,1,10,0,1,Rabbit Handler Gloves
720,2368,4,2,10,0,3,Brawler Gloves
